sigE,rrnB
kinA,spo0
spo0,spo0A
gin,sigG
gin,sigE
sigA,spoIIG
spo0A,spoIIG
spoIIID,sigK
spo0,sigH
rsbW,sigB
sigW,sigW
rocG,sigL
rocR,rocG
sigD,degR
comK,sigD
comK,degR
sigD,degR
sigB,clpC
sigA,clpC
gerE,cotD
gerE,cotD
sigB,yvyD
sigD,lytC
sigA,lytC
sigG,gerD
sigB,ctc
gerE,cotX
spoIIIJ,sigG
spoIIIA,sigG
sigB,nadE
spoIVFB,sigK
spoIVFA,spoIVFB
bofA,spoIVFB
spoIIE,spoIIAA
sigG,sspJ
kinC,spo0A
kinD,spo0A
spo0A,abrB
sigB,ohrB
sigK,ykvP
sigK,ykvP
gerE,ykvP
sigA,kdgT
sigA,kdgR
sigF,katX
sigG,sspB
sigG,sspE
gerR,cotB
gerR,spoVIF
gerR,cotC
gerR,cotG
gerR,cotU
spoIVB,bofA
spoIVB,spoIVFA
spoIVB,spoIVFB
sigG,rsfA
sigF,rsfA
sigK,ftsY
gerE,ftsY
sigK,ftsY
spoIVB,spoIVFA
spoIVFA,sigK
ctpB,sigK
spoIVB,sigK
ctpB,spoIVFA
spo0A,sigH
spo0A,sigA
gerE,sigK
spoIVFB,sigK
spoIVFA,spoIVFB
bofA,spoIVFB
